device;ano-mes;min_temp;max_temp;total_temp;min_humi;max_humi;total_humi;min_lumi;max_lumi;total_lumi;min_noise;max_noise;total_noise;min_eco2;max_eco2;total_eco2;min_etvoc;max_etvoc;total_etvoc
sirrosteste_UCS_AMV-07;2024-11;20.30;29.10;24.48;40.60;72.60;53.58;0.00;50.60;2.64;39.40;102.90;56.70;0.00;1167.00;90.04;400.00;2210.00;871.10
sirrosteste_UCS_AMV-16;2024-11;7.70;40.40;19.29;30.30;100.00;85.01;0.00;27306.20;1864.87;44.90;120.00;77.81;20.00;20.00;20.00;403.00;403.00;403.03
sirrosteste_UCS_AMV-20;2024-11;9.40;31.20;20.84;45.40;94.20;78.02;2.40;15918.90;1201.22;62.20;120.00;78.02;0.00;20.00;19.87;400.00;403.00;402.98
sirrosteste_UCS_AMV-11;2024-11;17.30;17.80;17.81;75.50;76.00;76.00;0.00;11380.00;1582.94;46.10;120.00;73.38;20.00;20.00;20.00;403.00;403.00;403.02
sirrosteste_UCS_AMV-05;2024-11;10.00;40.50;22.67;26.40;95.80;66.91;0.00;14820.90;803.17;50.70;109.60;73.91;20.00;20.00;20.00;403.00;403.00;403.02
sirrosteste_UCS_AMV-23;2024-11;11.00;44.80;23.79;21.80;100.00;67.15;0.00;27306.20;1383.12;41.00;120.00;75.85;20.00;301.00;20.10;403.00;1662.00;403.47
sirrosteste_UCS_AMV-04;2024-11;20.60;28.00;24.37;40.30;66.00;55.74;0.00;9.40;0.21;81.20;106.50;84.95;0.00;1184.00;72.96;400.00;2218.00;794.63
sirrosteste_UCS_AMV-07;2024-12;20.10;27.40;23.79;48.40;65.90;56.83;0.00;36.50;1.18;38.60;102.40;54.73;0.00;858.00;82.17;400.00;2064.00;837.67
sirrosteste_UCS_AMV-16;2024-12;9.80;38.70;18.81;36.30;100.00;86.14;0.00;27306.20;1979.36;46.60;120.00;77.10;20.00;20.00;20.00;403.00;403.00;403.06
sirrosteste_UCS_AMV-11;2024-12;17.30;17.80;17.81;75.50;76.00;76.00;0.00;11330.20;1592.80;49.80;120.00;73.11;20.00;20.00;20.00;403.00;403.00;403.06
sirrosteste_UCS_AMV-10;2024-12;13.50;38.70;22.05;29.30;95.40;66.35;0.00;701.30;42.40;41.60;113.80;70.95;0.00;268.00;1.76;400.00;1622.00;414.67
sirrosteste_UCS_AMV-20;2024-12;9.70;37.10;18.15;36.80;96.70;77.10;2.20;27306.20;1269.08;44.90;120.00;73.00;20.00;20.00;20.00;403.00;403.00;403.00
sirrosteste_UCS_AMV-05;2024-12;11.70;39.10;21.87;28.80;96.10;69.68;0.00;6086.10;726.12;49.40;120.00;73.68;20.00;20.00;20.00;403.00;403.00;403.06
sirrosteste_UCS_AMV-04;2024-12;22.30;27.80;24.98;48.20;63.30;55.69;0.00;17.70;0.42;75.60;96.60;85.73;0.00;1017.00;51.55;400.00;2144.00;725.96
